name,description,sex,months,color,breed_id
"Мурка","Нежная и игривая кошечка с мягкой шерстью","Девочка","5","Смешанный","2"
"Барсик","Умный и ласковый котенок с яркими глазами","Мальчик","7","Рыжий","1"
"Снежок","Белоснежная кошка с пушистым хвостом и нежным характером","Девочка","4","Белый","4"
"Тигр","Энергичный котенок с полосатой шерстью и игривым нравом","Мальчик","6","Коричневый","1"
"Луна","Спокойная и загадочная кошка с серебристой шерстью","Девочка","8","Голубой","3"
"Вася","Игривый и любопытный котенок с черной окраской","Мальчик","3","Чёрный","1"
"Марта","Нежная и ласковая кошечка с смешанной окраской","Девочка","5","Смешанный","3"
"Рекс","Умный и активный котенок с короткой шерстью","Мальчик","7","Серый","5"
"Злата","Яркая и энергичная кошка с золотистыми оттенками в шерсти","Девочка","6","Рыжий","3"
"Орех","Маленький и пушистый котенок с коричневой окраской","Мальчик","4","Коричневый","4"
"Алмаз","Изящная и грациозная кошка с белоснежной шерстью","Девочка","8","Белый","5"
"Сова","Спокойная и мудрая кошка с темно-сером цветом шерсти","Мальчик","5","Серый","2"
